id,code,short_name,full_name,country,date1,date2,url
rail_company_5470,5470,KTSK GmbH,KTSK Kombi Terminal Schkopau GmbH,DE,30/05/2024,03/06/2024,http://www.hoyer-group.com/
rail_company_5471,5471,Sternico,Sternico GmbH,DE,30/05/2024,03/06/2024,https://www.sternico.com/
rail_company_5472,5472,EVERWELLE,EVERWELLE OU,EE,30/05/2024,03/06/2024,
rail_company_5473,5473,E 60 Shipping,E 60 Shipping Line LLC,GE,31/05/2024,03/06/2024,https://e60shipping.com/ka/
rail_company_5474,5474,FS TTI,FS Treni Turistici Italiani S.r.l.,IT,04/06/2024,06/06/2024,
rail_company_5475,5475,RAILIMPEX,RAILIMPEX doo,RS,14/06/2024,24/06/2024,
rail_company_5476,5476,VSOE LTD,VENICE SIMPLON ORIENT EXPRESS LTD,FR,14/06/2024,24/06/2024,
rail_company_5477,5477,TLVG,TrainLog GmbH,DE,14/06/2024,24/06/2024,https://www.train-log.com/
rail_company_5478,5478,RNC,RAIL NET CARGO LTD,BG,14/06/2024,24/06/2024,
rail_company_5479,5479,TTBG,TT Bulgaria Ltd,BG,25/06/2024,02/07/2024,
rail_company_5480,5480,Viscaria,Viscaria Kiruna AB,SE,25/06/2024,02/07/2024,https://www.viscaria.com/en/
rail_company_5481,5481,RCC-CZ,Rail Cargo Carrier - Czech republic s.r.o.,CZ,08/09/2015,08/10/2015,http://www.railcargocarrier.com/
rail_company_5482,5482,IDSLR,IDS LogiRail s.r.o.,CZ,01/07/2024,02/07/2024,
rail_company_5483,5483,RTV,Rail Trans Vagon,RO,01/07/2024,02/07/2024,
rail_company_5484,5484,Logipart,Logipart Gesellschaft fur Logistik & Dienstleistungen mbH,DE,01/07/2024,02/07/2024,https://www.logipart.de/
rail_company_5485,5485,ELG,ELG GmbH,DE,01/07/2024,02/07/2024,
rail_company_5486,5486,KTV AD,Cargo Trans Wagon Bulgaria AD,BG,01/07/2024,02/07/2024,https://www.ttl-bg.com/
rail_company_5487,5487,CRT,COLAS RAIL TRACTION,FR,04/07/2024,05/07/2024,
rail_company_5488,5488,CONVENSA SA,CONTRATAS Y VENTAS SA,ES,04/07/2024,05/07/2024,https://www.fccco.com/
rail_company_5489,5489,LUGO TERMINAL,LUGO TERMINAL SPA,IT,11/07/2024,22/07/2024,
rail_company_5490,5490,TransRail Kft.,TransRail Vasúti Fuvarozási és Szolgáltató Korlátolt Felelősségű Társaság,HU,11/07/2024,22/07/2024,
rail_company_5491,5491,OeBB,Oensingen-Balsthal-Bahn AG,CH,11/07/2024,22/07/2024,
rail_company_5492,5492,Railport Arad,S.C. Railport Arad S.r.l.,RO,11/07/2024,22/07/2024,
rail_company_5493,5493,RTL PL,RailTrans Logistics  sp. zo.o.,PL,29/07/2024,30/07/2024,https://railtrans.com.pl/
rail_company_5494,5494,CEDROB Cargo,CEDROB Cargo sp. z o.o.,PL,29/07/2024,30/07/2024,https://www.cedrob.com.pl/
rail_company_5495,5495,TPF TRAFIC,Transports publics fribourgeois Trafic (TPF TRAFIC) SA,CH,29/07/2024,30/07/2024,https://www.tpf.ch/fr/
rail_company_5496,5496,SLGPL,Service and Logistics Group Sp. zo.o.,PL,29/07/2024,30/07/2024,
rail_company_5497,5497,ITB GmbH,Ilztalbahn GmbH,DE,29/07/2024,30/07/2024,https://ilztalbahn.eu/ilztalbahn-gmbh/
rail_company_5498,5498,UZ Cargo Poland,Ukrainian Railways Cargo Poland,PL,29/07/2024,30/07/2024,
rail_company_5499,5499,agilis E,agilis Eisenbahngesellschaft mbH & Co. KG,DE,30/07/2024,01/08/2024,https://www.agilis.de/
rail_company_5500,5500,HBD,Hering Bahndienste GmbH,DE,01/08/2024,02/08/2024,https://www.heringinternational.com/fr/
rail_company_5501,5501,LH,LONGITUDE HOLDING SRL,IT,19/08/2024,20/08/2024,www.arenaways.it
rail_company_5502,5502,VBB,Verkehrsbetriebe Burgenland Gesellschaft m.b.H.,AT,19/08/2024,20/08/2024,https://www.verkehrsbetriebe-burgenland.at/
rail_company_5503,5503,Bertani Rail,Bertani Trasporti GmbH Deutschland,DE,19/08/2024,20/08/2024,https://bertanitrasporti.it/
rail_company_5504,5504,TMK-TRAIN Kft.,TMK-TRAIN Korlátolt Felelősségű Társaság,HU,19/08/2024,20/08/2024,
rail_company_5505,5505,AGRNF,Aktiengesellschaft Reederei Norden-Frisia,DE,19/08/2024,20/08/2024,
rail_company_5506,5506,PIMK Ro,PIMK Rail S.R.L.,RO,20/08/2024,20/08/2024,
rail_company_5507,5507,Schavemaker Invest,Schavemaker Invest Sp. z o.o.,PL,20/08/2024,20/08/2024,
rail_company_5508,5508,SBB CF,SBB Cargo France,FR,20/08/2024,20/08/2024,
rail_company_5509,5509,Unikol,Unikol Railway Cargo sp. z o.o.,PL,27/08/2024,29/08/2024,
rail_company_5510,5510,DEVEGA Rail,SC DEVEGA RAIL SRL,RO,27/08/2024,29/08/2024,https://www.devega.ro/en/
rail_company_5511,5511,HSL BE,HSL Belgium GmbH,BE,29/08/2024,04/09/2024,https://hsl-belgium.eu
rail_company_5512,5512,TAF mobile,TAF mobile GmbH,DE,29/08/2024,04/09/2024,https://www.tafmobile.de/
rail_company_5513,5513,EWN GmbH,EWN Entsorgungswerk für Nuklearanlagen GmbH,DE,04/09/2024,05/09/2024,https://www.ksv-europe.de/
rail_company_5514,5514,VHH,Verkehrsbetriebe Hamburg-Holstein GmbH,DE,10/09/2024,12/09/2024,
rail_company_5515,5515,Schavemaker Intermodal,Schavemaker Intermodal Sp. z o.o.,PL,10/09/2024,12/09/2024,https://www.schavemaker.pl/
rail_company_5516,5516,Stega,Stega GmbH,DE,10/09/2024,12/09/2024,https://www.stega.tv/
rail_company_5517,5517,vbe,Verkehrsbetriebe Extertal GmbH,DE,12/09/2024,17/09/2024,https://vbe-extertal.de/
